DATE,WLPR:PROD2,WOPR:PROD1,WWIR:INJECT2,WWPR:PROD2
2020-02-01,-0.0,79.55490112304688,0.0,-0.0
2020-03-01,-0.0,79.54385375976562,0.0,-0.0
2020-04-01,-0.0,79.50386810302734,0.0,-0.0
2020-05-01,-0.0,79.49398803710938,0.0,-0.0
2020-06-01,-0.0,79.51278686523438,0.0,-0.0
2020-07-01,-0.0,79.51525115966797,0.0,-0.0
2020-08-01,75.93801879882812,82.989501953125,79.5,2.0891108287734994e-11
2020-09-01,75.90831756591797,83.11138153076172,79.5,-0.0
2020-10-01,75.92044067382812,83.08987426757812,79.5,-0.0
2020-11-01,75.93136596679688,83.07012939453125,79.5,-0.0
2020-12-01,75.9797592163086,82.98857116699219,79.5,-0.0
2021-01-01,76.10894012451172,82.9306640625,79.5,-0.0
